"Organization Name","Date Approved","AreasServed","ASNs","Action 1Filtering","Action 2Anti-Spoofing","Action 3Coordination","Action 4Routing Information 				 					IRR 					RPKI"
"Persiantech","14th Feb 2022","IR","209638","1","No data","100%","100% 							 							 								91%"
"Persis Telecom","27th Nov 2019","BR","14282, 28305","1","0","100%","100% 							 							 								50%"
"phi telecom","12th Jul 2021","BR","269566","1","0","100%","100% 							 							 								42%"
"Phoenix Telecom & Media Services SRL","19th Jan 2021","RO","33823","1","0","100%","100% 							 							 								100%"
"Pioneer Telephone Cooperative, Inc","7th May 2019","US","39970, 11650","1","No data","100%","100% 							 							 								50%"
"PIOTR PIWOWAR","18th Dec 2019","BR","262612","1","No data","100%","100% 							 							 								100%"
"PitLine","30th Aug 2021","UA","62206","1","0","100%","100% 							 							 								100%"
"PJM Telecom","19th Jun 2022","BR","266152","1","0","100%","100% 							 							 								100%"
"Plus.line AG","25th Aug 2018","DE","12306","1","No data","100%","100% 							 							 								0%"
"Pombonet Telecomunicações e Informática","24th Jul 2019","BR","262988","1","No data","100%","100% 							 							 								100%"
"Pongery Media","26th Apr 2023","ID","200160","1","0","100%","100% 							 							 								76%"
"PoP-PR","4th May 2020","BR","10881","1","No data","100%","100% 							 							 								100%"
"PoP-SC/RNP","9th Oct 2020","BR","11242","1","No data","100%","100% 							 							 								100%"
"Powernet Solutions LTDA","16th Dec 2021","BR","263982","1","No data","100%","100% 							 							 								75%"
"Prefeitura Municipal de Brusque","26th Jun 2023","BR","272220","1","100%","100%","100% 							 							 								100%"
"Prefeitura Municipal de Estancia","24th Mar 2020","BR","267086","1","0","100%","100% 							 							 								50%"
"PRIMMUS FIBRA","14th Aug 2023","BA","267271","1","0","100%","100% 							 							 								100%"
"Princeton University","16th Jul 2019","US","88","1","No data","100%","100% 							 							 								92%"
"PRINT INTERNET","28th Oct 2021","BR","262888","1","49%","100%","100% 							 							 								0%"
"Prisma Rede","4th May 2020","BR","267562","1","0","100%","100% 							 							 								0%"
"Prolink Latin america","4th May 2020","BR","266372","1","0","1","1"
"Provynet","6th Jul 2020","BR","266303","1","0","100%","100% 							 							 								0%"
"PT AMBHARA DUTA SHANTI","22nd Aug 2023","ID","38165","1","36%","100%","100% 							 							 								100%"
"PT Beon Intermedia","29th Jan 2021","ID","55688","1","No data","100%","100% 							 							 								100%"
"PT Cyberindo Aditama","10th Jul 2023","ID","4787, 38158","1","0","100%","100% 							 							 								84%"
"PT Herza Digital Indonesia","12th Nov 2020","ID","140443","1","No data","100%","100% 							 							 								93%"
"PT Juragan Wifi Indonesia","26th Apr 2023","ID","141073","1","0","100%","80% 							 							 								100%"
"PT Myarsyila Indonesia Interkoneksi","21st Mar 2022","ID","147120","1","0","100%","100% 							 							 								100%"
"PT Pedjoeang Digital Networks","26th Apr 2023","ID, SG","149953","1","No data","100%","100% 							 							 								100%"
"PT Primacom Interbuana","8th Sep 2021","ID","133815","1","No data","100%","100% 							 							 								100%"
"PT. Sumber Data Indonesia","28th Oct 2021","ID","56246","1","No data","100%","0"
"Qcom SpA","4th Oct 2019","IT","41497","1","No data","0","0"
"Qin Cloud Networks","26th Apr 2023","HK","7721","1","0","100%","100% 							 							 								100%"
"R. P. DE B. ALVES SERVICOS E TELECOMUNICACOES - ME","8th Apr 2019","BR","266136","1","No data","100%","100% 							 							 								100%"
"Radar Internet","7th Jul 2020","BR","262880","1","0","100%","100% 							 							 								90%"
"Radish Networks","26th Apr 2023","CA","399580","1","0","100%","100% 							 							 								100%"
"Raiola Networks S.L.","22nd Nov 2022","ES","56958","1","0","100%","100% 							 							 								100%"
"Razorblue Ltd","16th Sep 2020","GB","15692","1","No data","100%","100% 							 							 								100%"
"RBT Internet","31st Aug 2021","BR","265141","1","No data","100%","100% 							 							 								64%"
"Real World Technology Solutions Pty Ltd","17th Oct 2021","AU","45437","1","No data","100%","100% 							 							 								100%"
"REANNZ","21st Apr 2020","NZ","38022","1","No data","100%","100% 							 							 								70%"
"RedCLARA","19th Jan 2022","AR, BR, CL, CO, CR, EC, GT, HN, MX, NI, UY","27750","1","100%","100%","100% 							 							 								100%"
"Redder Telco","25th Aug 2018","IT","33986","1","No data","100%","100% 							 							 								100%"
"Rede IDL","3rd Aug 2020","BR","61588","1","0","100%","0"
"Rede Nacional de Ensino e Pesquisa","11th Dec 2019","BR","1916","1","0","100%","99% 							 							 								66%"
"RedeNET","4th May 2020","BR","268342","1","No data","100%","100% 							 							 								0%"
"Redes y Asesorías del Mayab S.A. de C.V.","9th Apr 2021","MX","265623","1","0","100%","100% 							 							 								100%"
"RedIRIS","25th Aug 2018","ES","766","1","No data","100%","100% 							 							 								0%"
"RENU","10th Jul 2023","UG","327687","1","0","100%","100% 							 							 								91%"
"Research and Education Network for Uganda (RENU)","13th Oct 2020","UG","327687","1","0","100%","100% 							 							 								91%"
"Research SRL","4th May 2020","AR","61449","1","No data","100%","100% 							 							 								100%"
"Respina Networks & Beyond","8th Feb 2022","IR","42337","1","No data","100%","95% 							 							 								54%"
"RETN","30th Oct 2018","BY, CA, EU, HK, JP, KZ, KR, KG, MD, RU, SG, CH, UA, US","9002, 29470, 198947","1","No data","100%","97% 							 							 								44%"
"REUNICABLE","30th Jun 2020","FR, RE, ZA","37002","1","0","100%","100% 							 							 								98%"
"RHM NET LTDA ME","18th Nov 2020","BR","264513","1","0","100%","100% 							 							 								57%"
"RICTA","12th Oct 2022","RW","328014","1","0","100%","100% 							 							 								0%"
"RIPE NCC","25th Aug 2018","NL","3333","1","100%","100%","100% 							 							 								100%"
"RISE","25th Aug 2018","PH","63927","1","No data","100%","0"
"RizziNET Soluções em Internet LTDA","26th Jun 2023","BR","270812","1","100%","0%","100% 							 							 								0%"
"Rline Telecom Ltda","4th May 2020","BR","28145","1","No data","100%","100% 							 							 								100%"
"RM EDUCATION PLC","21st Jan 2019","GB","5503","1","No data","100%","100% 							 							 								100%"
"RocketNet","29th Aug 2019","ZA","327849","1","0","100%","0"
"ROILCOM","25th Aug 2018","RU","16094","1","No data","100%","100% 							 							 								0%"
"ROUTE WAY TELECOMUNICACOES E SERVICOS","30th Jun 2023","BR","263142","1","49%","100%","100% 							 							 								75%"
"Rowe Wireless Networks LLC","28th Oct 2021","US","25787","1","49%","100%","100% 							 							 								100%"
"Roxonic Systems","8th Mar 2022","IN","142289","1","No data","100%","100% 							 							 								100%"
"RR64 Inteligencia em Redes","25th Jun 2020","BR","264971","1","0","100%","100% 							 							 								50%"
"RUNNet","25th Aug 2018","RU","3267","1","No data","100%","100% 							 							 								0%"
"Runway Broadband","12th Mar 2021","BD","138042","1","0","100%","100% 							 							 								100%"
"RV Connect Telecominicações Ltda - ME","1st Apr 2020","BR","267396","1","No data","100%","100% 							 							 								86%"
"RVT SERVICOS DE TELECOMUNICACOES LTDA","6th Jul 2020","BR","268207","1","0","100%","100% 							 							 								82%"
"Réseau d'informations scientifiques du Québec (RISQ)","25th Sep 2019","CA","376","1","No data","100%","100% 							 							 								1%"
"S.P.E.Sistemi e Progetti Elettronici s.a.s.","14th Aug 2020","AT, IT","49640","1","0","100%","100% 							 							 								0%"
"Saga Internet","11th Nov 2022","BR","266280","1","100%","100%","100% 							 							 								100%"
"Sahel telecom","26th Apr 2023","LR, MR","328549","1","No data","100%","0"
"Saicom Voice Services","23rd Oct 2019","ZA","327733","1","0","100%","100% 							 							 								100%"
"SAKURA internet Inc.","26th Jul 2019","JP","9370, 9371, 7684","1","0","100%","100% 							 							 								94%"
"Saltandfish LLC","19th Jun 2022","CA, JP, US","211946","1","0","100%","63% 							 							 								100%"
"Sam Online","7th Jul 2020","BD","134146","1","0","100%","100% 							 							 								100%"
"Sampling Line, Lda | PTServidor","13th Nov 2018","PT","62416","1","No data","100%","100% 							 							 								100%"
"Saskatchewan Research Network Inc. (SRNET","26th Jan 2021","CA","26806","1","No data","100%","100% 							 							 								13%"
"SBTAP","25th Aug 2018","IT","59715","1","100%","100%","100% 							 							 								100%"
"schallert.com e.U.","8th Oct 2018","AT","49432","1","No data","100%","100% 							 							 								100%"
"Schmitz Informática","19th Dec 2019","PY","263750","1","No data","100%","100% 							 							 								100%"
"SEACOM Ltd","25th Aug 2018","MU","37100","1","0","100%","92% 							 							 								69%"
"SEBRATEL TECNOLOGIA LTDA","7th Jun 2019","BR","53167","1","0","100%","100% 							 							 								100%"
"Seeweb","25th Aug 2018","IT","12637","1","No data","100%","100% 							 							 								100%"
"SERCOMTEL S/A TELECOMUNICACOES","14th Jun 2022","BR","22689","1","100%","100%","100% 							 							 								74%"
"Shabdiz Telecom Network","7th Jun 2019","IR","50530","1","1","1","1"
"shatel","3rd May 2021","IR","31549","1","No data","0","100% 							 							 								0%"
"SIACOM JSC","21st Sep 2023","GE","198150","1","100%","100%","100% 							 							 								100%"
"Simulhost Limited","26th Apr 2023","AD, AE, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, EU, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW","211380","1","0","100%","100% 							 							 								100%"
"SINET","31st Jul 2022","JP","2907","1","100%","100%","100% 							 							 								0%"
"Sirius Technology SRL","1st Apr 2020","IT","60501","1","No data","100%","100% 							 							 								94%"
"Sistema Oeste de Comunicações","17th Apr 2020","BR","262293","1","No data","100%","100% 							 							 								0%"
"Sistemas Fratec S.A.","21st Mar 2022","CR","262149","1","No data","100%","100% 							 							 								100%"
"Sistemax Brasil","31st Mar 2020","AR, BR, CH, PY","265950","1","No data","100%","70% 							 							 								100%"
"sits","26th Apr 2023","IR","43415","1","0","100%","92% 							 							 								100%"
"Sky","25th Aug 2018","GB","5607","1","100%","100%","93% 							 							 								60%"
"Sky Broadband","13th Oct 2020","NP","136908","0","0","100%","100% 							 							 								100%"
"Sky Link Net","26th Apr 2023","BD","137707, 136419","1","0","100%","100% 							 							 								100%"
"SKY POWER","16th Jun 2023","BR","265487","1","0","100%","100% 							 							 								100%"
"SkyCable Corporation","12th Jan 2021","PH","23944","1","No data","100%","100% 							 							 								100%"
"Skyview Online Ltd","6th Nov 2020","BD","138482","1","1","1","1"
"Sloth Networks","26th Apr 2023","US","212276","1","0","0","0"
"SMART SOLUÇÕES EM TELECOM","1st Apr 2020","BR","264293","1","No data","100%","100% 							 							 								0%"
"Smart Technology Centre","24th Jul 2019","ZA","37670","1","No data","100%","100% 							 							 								100%"
"Smart Telecom Pvt. Ltd.","9th Jun 2021","NP","136734","1","0","1","1"
"Smartcom Telephone, LLC","19th May 2020","US","14860","1","No data","100%","100% 							 							 								47%"
"Smartnet Ltda","4th May 2020","CL","267733","1","0","100%","100% 							 							 								100%"
"Sndc communication Pvt Ltd","2nd Apr 2022","IN","142419","1","0","1","1"
"Snet Telecom","7th Jul 2020","BR","265209","1","1","0","1"
"SO DO BRASIL TELECOM","23rd Mar 2021","BR","28171","1","100%","100%","100% 							 							 								92%"
"Soft System Telecom","21st Mar 2022","BR","265279","1","100%","100%","100% 							 							 								100%"
"SOFTDADOS CONECTIVIDADE","18th Dec 2019","BR","52873","1","0","100%","92% 							 							 								73%"
"Solcon Internetdiensten B.V.","5th Nov 2019","NL","12414","1","49%","100%","100% 							 							 								100%"
"Solintel Soluções inteligentes em telecomunicações","15th Oct 2018","BR","267322","1","49%","100%","100% 							 							 								0%"
"Somali Research and Education network","12th Mar 2021","SO","327764","1","No data","100%","80% 							 							 								0%"
"Sota Solutions Ltd","25th Aug 2018","GB","31742","1","No data","100%","100% 							 							 								82%"
"Space Network","26th Apr 2023","BR","52941","1","0","100%","100% 							 							 								81%"
"SpaceNet","25th Aug 2018","DE","5539","1","No data","100%","100% 							 							 								0%"
"Spadhausen SRL Unipersonale","31st Dec 2019","IT","62166","1","No data","100%","100% 							 							 								53%"
"Spectrum Internet Ltd","21st Apr 2020","GB","48294","1","0","100%","100% 							 							 								100%"
"Speed NET Internet Banda Larga Ltda","13th Jun 2023","BR","266266","1","0","100%","100% 							 							 								0%"
"speed net servicos de telecomunicacoes ltda","6th Jul 2020","BR","264244","1","0","100%","100% 							 							 								0%"
"Speed planet telecom","4th Nov 2019","BR","263462","1","0","100%","100% 							 							 								100%"
"SpeedPartner GmbH","25th Aug 2018","DE","34225","1","No data","100%","100% 							 							 								100%"
"SpeedWeb Telecom","30th Nov 2018","BR","262896","1","No data","100%","100% 							 							 								0%"
"Spotler Holding B.V.","25th Aug 2018","NL","51514, 49509","1","No data","100%","100% 							 							 								100%"
"Ssmidge LLC","13th Jun 2023","BG, CA, DE, EU, NL, US","199177, 60900","1","0","100%","100% 							 							 								92%"
"Stadtwerke Feldkirch","10th Jul 2019","AT","48362","1","0","100%","100% 							 							 								100%"
"STARONE INTERNET","21st Apr 2020","BR","269194","1","0","100%","100% 							 							 								91%"
"Start Telecom","16th Sep 2022","BR","264359","1","0","100%","100% 							 							 								0%"
"START TELECOM LTDA","18th Dec 2019","BR","52999","1","100%","100%","100% 							 							 								83%"
"State of South Dakota - BIT","21st Mar 2022","US","7773, 14263, 33189","1","No data","100%","100% 							 							 								100%"
"Stellar Association","21st Apr 2020","US","36374","1","100%","100%","100% 							 							 								100%"
"Stellar Technologies Inc.","7th Jun 2020","US","14525","1","No data","100%","100% 							 							 								100%"
"SteveYi Network Service","19th Jan 2021","TW","209557, 60614","1","1","1","1"
"Stichting Internet Domein Registratie Nederland","21st Dec 2018","EU","1140, 48283","1","No data","100%","100% 							 							 								100%"
"StreetNet Telecom","31st Mar 2020","BR","267520","1","No data","0%","100% 							 							 								0%"
"SUANET TELECOMUNICAÇÕES","19th Nov 2021","BR","266968","1","No data","100%","100% 							 							 								19%"
"Subisu Cablenet Pvt Ltd","16th Oct 2020","NP","4007","1","100%","100%","100% 							 							 								100%"
"sudachad","21st Oct 2021","TD","328594","1","100%","100%","100% 							 							 								100%"
"Sudan Internet Society","12th Jul 2021","SD","328381","1","0","1","0"
"Sudatel","11th Nov 2020","SD","15706","1","0","100%","98% 							 							 								98%"
"SUNET","25th Aug 2018","SE","1653","1","No data","100%","96% 							 							 								71%"
"Sunoaki Network LLC","24th Jul 2023","AE, AU, BR, CN, DE, JP, KR, LU, NL, SG, TW, US","200536","1","0","100%","100% 							 							 								100%"
"SUPER CONNECT TELECOM LTDA","2nd Apr 2022","BR","262300","1","0","100%","100% 							 							 								80%"
"SUPERNAP Italia","15th Jan 2019","EU, IT","203201","1","No data","100%","100% 							 							 								91%"
"SuperNet Infocomm","26th Apr 2023","BT","141680","1","0","100%","80% 							 							 								100%"
"SURF","25th Aug 2018","NL","1103","1","100%","100%","100% 							 							 								0%"
"Swedish Armed Forces","29th Nov 2018","SE","9201","1","No data","100%","100% 							 							 								100%"
"Swisscom Ltd","25th Aug 2018","CH","3303","1","No data","100%","100% 							 							 								73%"
"SWITCH","25th Aug 2018","CH","559","1","No data","100%","100% 							 							 								81%"
"SWU TeleNet GmbH","12th Nov 2020","DE","48284","1","No data","100%","100% 							 							 								90%"
"SYNAPSECOM TELECOMS S.A.","16th Jun 2020","GR","8280","1","No data","100%","100% 							 							 								100%"
"syokinet solutions limited","27th Jul 2020","KE","328271","1","0","100%","100% 							 							 								100%"
"SYSTEM36 LLC","9th May 2023","US","59678","1","0","100%","100% 							 							 								100%"
"Systems solution and developmemt technology Limited","13th Oct 2019","BD","63526","1","0","100%","0"
"Taiwan Computer Emergency Response Team / Coordination Center","2nd Apr 2019","TW","131621","1","No data","100%","67% 							 							 								100%"
"Tashi InfoComm Limited","1st Apr 2020","BT","38740, 23955, 137412","1","No data","100%","100% 							 							 								100%"
"Tchê Turbo Provedor de Internet","16th Jun 2023","BR","53169","1","0","100%","0"
"TDC","25th Aug 2018","DK","3292","1","100%","100%","96% 							 							 								6%"
"TDF Provider Servicos em Informatica Ltda","4th Oct 2019","BR","264279","1","1","1","1"
"TDS Telecom","25th Apr 2019","US","4181","1","100%","100%","100% 							 							 								100%"
"Team Cymru, Inc.","6th Apr 2020","US","23028","1","0","100%","100% 							 							 								0%"
"TECMAIS TELECOMUNICAÇÕES","7th Jul 2020","BR","61785","1","0","100%","100% 							 							 								100%"
"Tecno Azar S.A.","4th May 2020","AR","264608","1","No data","100%","0% 							 							 								100%"
"Tecnocrática Centro de Datos, S.L.","28th Oct 2021","ES","15954","1","No data","100%","100% 							 							 								92%"
"TECNOLOGICA SIMEON COMPANY CHILE SPA","4th Apr 2022","CL, US","271915","1","No data","0","0"
"TECNOTEL ST SRL","8th Mar 2021","IT","48544","1","No data","100%","100% 							 							 								100%"
"TecSul Internet","15th Sep 2021","BR","266013","1","0","0","100% 							 							 								50%"
"TecSul Internet","22nd Sep 2022","BR","266013","1","No data","100%","100% 							 							 								50%"
"TelcoSwitch Limited","31st May 2022","GB","45033","1","0","100%","100% 							 							 								100%"
"TelcoSwitch Limited","19th Jun 2022","GB","45033","1","0","100%","100% 							 							 								100%"
"Telecomunicaciones Oportunas Inteligentes Srl","9th Mar 2022","BO","270045","1","No data","100%","100% 							 							 								100%"
"TELECOMUNICACIONES OPORTUNAS INTELIGENTES SRL","5th Jan 2021","BO","270045","1","No data","100%","100% 							 							 								100%"
"Teleoperadora del Nordeste S.R.L","4th May 2020","DO","264750","1","0","100%","100% 							 							 								91%"
"Telic Technologies","2nd Apr 2020","BR","61595","1","0","100%","100% 							 							 								100%"
"Telkom Internet","1st Oct 2020","ZA","37457","1","No data","0","0"
"Telnet Communication Ltd","5th Jan 2021","BD","38712","1","No data","100%","100% 							 							 								100%"
"TelNet Worldwide, Inc.","5th Feb 2019","US","27553","1","No data","100%","100% 							 							 								84%"
"Telstra Corporation Ltd","19th May 2020","AU","1221","1","100%","100%","63% 							 							 								0%"
"Telstra International","7th Sep 2023","AE, AU, CN, GB, HK, ID, IN, JP, KR, MY, NZ, PH, SG, TH, TW, US","4637","1","49%","100%","93% 							 							 								42%"
"TENEDA CORPORACION CIA. LTDA.","6th Jul 2020","EC","265724","1","0","100%","100% 							 							 								100%"
"Texas A&M University","23rd Jul 2019","US","3974","1","1","1","0"
"The George Washington University","25th Aug 2018","US","11039","1","100%","100%","100% 							 							 								100%"
"The Ministry of Compute Inc.","28th Oct 2021","CA","399214","1","No data","100%","100% 							 							 								100%"
"The Networking People (TNP) Limited","26th Apr 2020","GB","25460","1","No data","100%","100% 							 							 								100%"
"Three Rivers Optical Exchange (3ROX)","31st Mar 2019","US","5050","1","100%","100%","100% 							 							 								58%"
"THS Provider","1st Apr 2020","BR","53152","1","No data","100%","100% 							 							 								100%"
"Tianguá.com","21st Nov 2020","BR","262393","1","No data","100%","100% 							 							 								85%"
"Tier4 Services","30th Jan 2020","CR","16973","1","No data","100%","100% 							 							 								100%"
"Tis-dialog","10th Jul 2019","RU","31214","1","0","0","100% 							 							 								100%"
"TIX Telecomunicações LTDA","4th May 2020","BR","269104","1","1","1","1"
"TLink","31st Jul 2019","CL","265662","1","0","100%","100% 							 							 								100%"
"Today Communication Co., Ltd","14th Nov 2019","KH","135375, 137952","0","0","100%","0"
"TOHUNET","5th May 2021","CN, DE, HK, LU, NL, SG, US","140731","1","0","100%","100% 							 							 								79%"
"TOMOCHA-NET","6th Jul 2020","JP","45679","1","0","100%","100% 							 							 								0%"
"TON Total Optical Networks","24th Feb 2020","CH, LI","12387","1","No data","100%","100% 							 							 								100%"
"TOP FIBRA (CARRENHO E PELEGRINO LTDA ME)","16th Sep 2022","BR","264354","1","No data","100%","100% 							 							 								100%"
"TopManage","9th May 2023","PA","270078","1","No data","100%","100% 							 							 								100%"
"TOPNET","17th Oct 2021","BR","266309","1","0","100%","100% 							 							 								100%"
"Trabia","25th Apr 2023","DE, MD, RO","43289","1","No data","100%","100% 							 							 								86%"
"Trans Ocean Network","11th May 2023","PA","265867","1","0","100%","100% 							 							 								92%"
"TransIP B.V.","25th Aug 2018","NL","20857","1","No data","100%","0"
"TransWorld Associates Pvt Ltd","15th Oct 2018","PK","38193, 45843","1","49%","100%","50% 							 							 								91%"
"TRAY TECNOLOGIA EM E-COMMERCE LTDA","22nd Aug 2022","BR","262518","1","No data","100%","100% 							 							 								76%"
"Triangle Servicec s Ltd.","5th Sep 2022","BD","45766","1","No data","100%","100% 							 							 								100%"
"Trunk Networks Limited","25th Aug 2018","EU, GB","49375","1","0","100%","100% 							 							 								0%"
"Trustees of Boston University","22nd May 2020","US","111, 10961","1","No data","100%","100% 							 							 								0%"
"TRUXGO","6th Jul 2020","MX","28423","1","0","1","1"
"Tsai Pang-Wei","1st Jun 2021","TW","211622","1","No data","100%","100% 							 							 								100%"
"Turbozone Internet","23rd Dec 2019","BR","264479","1","0","100%","100% 							 							 								100%"
"TurkNet Iletisim Hizmetleri A.S.","14th Sep 2020","TR","12735","1","0","100%","100% 							 							 								100%"
"TVCC","26th Apr 2023","US","399445","1","100%","100%","0"
"twt spa","10th Jul 2019","IT","30848","1","No data","100%","100% 							 							 								90%"
"UAUBR Provedor de Acesso a Internet","22nd Aug 2022","BR","53045","1","100%","100%","100% 							 							 								100%"
"UbuntuNet Alliance for Research and Education Networking","27th Nov 2019","BI, CD, KE, MW, MZ, RW, TZ, UG, ZA, ZM, ZW","36944","1","0","100%","100% 							 							 								100%"
"Ufinet","31st Dec 2021","PA","52468","1","No data","100%","99% 							 							 								26%"
"Ufinet Panamá, S.A.","16th Dec 2021","PA","52245","1","1","1","1"
"ULTRA TELECOM","15th Sep 2021","BR","266224","1","0","100%","100% 							 							 								0%"
"Ultranet Communication pvt ltd","13th Oct 2020","NP","136530","0","0","0","0"
"UMBC (University of Maryland Baltimore County)","13th Jan 2023","US","11131","1","100%","100%","100% 							 							 								50%"
"UNAM","1st Apr 2020","MX","278","1","36%","100%","99% 							 							 								98%"
"UNC at Chapel Hill","26th Jul 2019","US","36850","1","No data","100%","0"
"unica telecomunicazioni srl","21st Oct 2020","IT","203223","1","No data","100%","100% 							 							 								71%"
"UNICONNECT","23rd Jul 2020","IT","205322","1","0","1","1"
"United Information Highway","25th Aug 2018","TH","38794","1","No data","100%","100% 							 							 								2%"
"United Information Highway","25th Aug 2018","TH","45796","1","0","100%","100% 							 							 								0%"
"Unitel SA","31st Mar 2020","AO","37119","1","100%","100%","100% 							 							 								100%"
"Universidad Autónoma de Yucatán","30th Aug 2018","MX","22122","1","No data","100%","100% 							 							 								87%"
"Universidad de Guadalajara","25th Sep 2019","MX","2549","1","100%","100%","100% 							 							 								100%"
"Universidad de Guanajuato","1st Feb 2021","MX","2708","1","No data","100%","100% 							 							 								98%"
"Universidad Gerardo Barrios","4th May 2020","SV","265811","1","0","100%","0% 							 							 								100%"
"Universidad Nacional de San Juan","31st Mar 2020","AR, SJ","28107","1","100%","100%","100% 							 							 								100%"
"Universidade Estadual de Ponta Grossa","6th Feb 2020","BR","53046","1","No data","100%","100% 							 							 								91%"
"Universitas Brawijaya","15th Sep 2021","ID","46019","1","0","100%","100% 							 							 								80%"
"University of Chicago","26th Jul 2019","US","160","1","0","100%","100% 							 							 								0%"
"University of Idaho","16th Jul 2019","US","11808","1","No data","100%","100% 							 							 								0%"
"University of Iowa","4th May 2020","US","3676, 3677","1","No data","100%","100% 							 							 								100%"
"University Of Jos","25th Jun 2019","NG","37420","1","0","1","1"
"University of Maine System","4th Nov 2019","US","557","1","No data","100%","0"
"University of MIchigan","7th May 2020","US","36375","1","No data","100%","100% 							 							 								100%"
"University of Montana","13th Oct 2019","US","3807","1","No data","100%","100% 							 							 								100%"
"University of Nebraska","25th Oct 2021","US","7896, 11546, 11714, 11920","1","0","100%","100% 							 							 								59%"
"University of Prince Edward Island","6th Nov 2020","CA","7860","1","No data","100%","100% 							 							 								50%"
"Univox","1st Jun 2021","BR","28294","1","0","100%","100% 							 							 								0%"
"Upnet Telecom","4th Nov 2019","BR","265097","1","0","100%","100% 							 							 								30%"
"URAN Association","2nd Jun 2020","UA","12687","1","0","100%","100% 							 							 								100%"
"USE Telecom","4th Aug 2020","BR","52871","1","0","100%","100% 							 							 								89%"
"V+NET","16th May 2019","BR","52604","1","No data","100%","100% 							 							 								100%"
"V1 TELECOM","18th Dec 2019","BR","264429","1","No data","100%","100% 							 							 								100%"
"V7PROVIDER - INTERNET SERVICE","24th May 2022","BR","267490","1","No data","100%","100% 							 							 								0%"
"Valor Christian High School","2nd Apr 2022","US","1025, 36289","1","No data","100%","100% 							 							 								100%"
"Verisign","25th Aug 2018","US","7342, 10515, 11840, 16838, 19836, 20172, 20362, 20431, 21313, 22547, 25485, 26134, 26415, 27544, 29403, 29966, 30060, 32651, 36616, 36617, 36618, 36619, 36620, 36621, 36622, 36623, 36624, 36625, 36626, 36627, 36628, 36629, 36630, 36631, 36632, 40647, 40717, 211369, 396540, 396541, 396542, 396543, 396544, 396545, 396546, 396547, 396549, 396550, 396551, 396554, 396555, 396556, 396557, 396558, 396559, 396560, 396561, 396563, 396564, 396565, 396566, 396567, 396568, 396569, 396570, 396571, 396572, 396573, 396574, 396575, 396576, 396577, 396578, 396579, 396583, 396584, 396585, 396586, 396587, 396588, 396591, 396595, 396596, 396599, 396600, 396602, 396605, 396606, 396608, 396609, 396610, 396611, 396613, 396614, 396615, 396616, 396617, 396625, 396639, 396642, 396644, 396653, 396654, 396658, 396659, 396664, 396666, 396675, 396681, 396682, 396686, 396688, 396689, 396690, 396694, 396699, 396701, 396704, 396707, 396714, 396715, 396721, 396726, 396729, 396735, 396736, 396737, 396739, 396745, 396746, 396747, 396748, 396756, 396761, 396826, 396828, 397193, 397194, 397195, 397196, 397197, 397198, 397199, 397200, 397201, 397202, 397203, 397204, 397205, 397206, 397207, 397208, 397209, 397210, 397211, 397212","1","No data","100%","99% 							 							 								57%"
"Verizon","28th Apr 2023","US","701","1","49%","100%","96% 							 							 								76%"
"Vexnet Telecom","8th Mar 2022","BR","263338","1","No data","100%","100% 							 							 								100%"
"Vianet Communications Pvt Ltd","31st Jul 2022","NP","45650","1","No data","100%","100% 							 							 								100%"
"VIIBE TELECOM","31st Mar 2020","BR","269497","1","No data","100%","100% 							 							 								75%"
"Villanova University","10th Jan 2020","US","10448","1","No data","100%","100% 							 							 								0%"
"VIRTEX TELECOM","8th Mar 2022","BR","262494","1","No data","100%","100% 							 							 								79%"
"Virtual Technologies and Solutions","6th Jul 2020","BF","37721","1","0","100%","100% 							 							 								100%"
"VISAONET TELECOM","10th Jul 2023","BR","28359","1","100%","100%","100% 							 							 								100%"
"VIVA TECNOLOGIA TELECOM","11th Mar 2021","BR","266413","1","No data","100%","100% 							 							 								75%"
